timestamp,scintillator,rate_per_min,total_hits
2026-06-10T22:10:00+00:00,Scintillator 4,1155.9,337001
2026-06-10T22:20:00+00:00,Scintillator 1,1398.7,426031
2026-06-10T22:20:00+00:00,Scintillator 2,1320.6,400225
2026-06-10T22:20:00+00:00,Scintillator 3,1283.0,390284
2026-06-10T22:20:00+00:00,Scintillator 4,1129.9,348300
2026-06-10T22:30:00+00:00,Scintillator 1,1399.1,440022
2026-06-10T22:30:00+00:00,Scintillator 2,1313.2,413357
2026-06-10T22:30:00+00:00,Scintillator 3,1284.4,403128
2026-06-10T22:30:00+00:00,Scintillator 4,1142.2,359722
2026-06-10T22:40:00+00:00,Scintillator 1,1404.0,454062
2026-06-10T22:40:00+00:00,Scintillator 2,1309.4,426451
2026-06-10T22:40:00+00:00,Scintillator 3,1278.0,415908
2026-06-10T22:40:00+00:00,Scintillator 4,1139.9,371121
2026-06-10T22:50:00+00:00,Scintillator 1,1375.0,467812
2026-06-10T22:50:00+00:00,Scintillator 2,1302.4,439475
2026-06-10T22:50:00+00:00,Scintillator 3,1266.6,428574
2026-06-10T22:50:00+00:00,Scintillator 4,1125.7,382378
2026-06-10T23:00:00+00:00,Scintillator 1,1421.6,482028
2026-06-10T23:00:00+00:00,Scintillator 2,1344.5,452920
2026-06-10T23:00:00+00:00,Scintillator 3,1305.2,441626
2026-06-10T23:00:00+00:00,Scintillator 4,1170.8,394086
2026-06-10T23:10:00+00:00,Scintillator 1,1356.3,495591
2026-06-10T23:10:00+00:00,Scintillator 2,1280.6,465726
2026-06-10T23:10:00+00:00,Scintillator 3,1250.4,454130
2026-06-10T23:10:00+00:00,Scintillator 4,1119.9,405285
2026-06-10T23:20:00+00:00,Scintillator 1,1396.9,509560
2026-06-10T23:20:00+00:00,Scintillator 2,1317.6,478902
2026-06-10T23:20:00+00:00,Scintillator 3,1290.6,467036
2026-06-10T23:20:00+00:00,Scintillator 4,1141.0,416695
2026-06-10T23:30:00+00:00,Scintillator 1,1401.8,523578
2026-06-10T23:30:00+00:00,Scintillator 2,1322.0,492122
2026-06-10T23:30:00+00:00,Scintillator 3,1286.2,479898
2026-06-10T23:30:00+00:00,Scintillator 4,1149.9,428194
2026-06-10T23:40:00+00:00,Scintillator 1,1424.7,537825
2026-06-10T23:40:00+00:00,Scintillator 2,1340.8,505530
2026-06-10T23:40:00+00:00,Scintillator 3,1305.8,492956
2026-06-10T23:40:00+00:00,Scintillator 4,1168.1,439875
2026-06-10T23:50:00+00:00,Scintillator 1,1367.8,551503
2026-06-10T23:50:00+00:00,Scintillator 2,1289.7,518427
2026-06-10T23:50:00+00:00,Scintillator 3,1256.9,505525
2026-06-10T23:50:00+00:00,Scintillator 4,1122.3,451098
2026-06-11T00:00:00+00:00,Scintillator 1,1357.4,565077
2026-06-11T00:00:00+00:00,Scintillator 2,1281.6,531243
2026-06-11T00:00:00+00:00,Scintillator 3,1255.5,518080
2026-06-11T00:00:00+00:00,Scintillator 4,1123.8,462336
2026-06-11T00:10:00+00:00,Scintillator 1,1381.9,578896
2026-06-11T00:10:00+00:00,Scintillator 2,1303.7,544280
2026-06-11T00:10:00+00:00,Scintillator 3,1270.5,530785
2026-06-11T00:10:00+00:00,Scintillator 4,1142.3,473759
2026-06-11T00:20:00+00:00,Scintillator 1,1394.6,592842
2026-06-11T00:20:00+00:00,Scintillator 2,1307.3,557353
2026-06-11T00:20:00+00:00,Scintillator 3,1279.6,543581
2026-06-11T00:20:00+00:00,Scintillator 4,1138.3,485142
2026-06-11T00:30:00+00:00,Scintillator 1,1345.9,606301
2026-06-11T00:30:00+00:00,Scintillator 2,1261.9,569972
2026-06-11T00:30:00+00:00,Scintillator 3,1234.4,555925
2026-06-11T00:30:00+00:00,Scintillator 4,1099.5,496137
2026-06-11T00:40:00+00:00,Scintillator 1,1385.8,620159
2026-06-11T00:40:00+00:00,Scintillator 2,1299.8,582970
2026-06-11T00:40:00+00:00,Scintillator 3,1268.1,568606
