timestamp,multiplicity,observed_count,rate_per_min,random_expected_count
2026-06-11T01:20:00+00:00,2,6975,697.5,1.54478652
2026-06-11T01:20:00+00:00,3,4970,497.0,2.128e-05
2026-06-11T01:20:00+00:00,4,3159,315.9,0.0
2026-06-11T01:30:00+00:00,2,7044,704.4,1.64220919
2026-06-11T01:30:00+00:00,3,5278,527.8,2.332e-05
2026-06-11T01:30:00+00:00,4,3209,320.9,0.0
2026-06-11T01:40:00+00:00,2,7275,727.5,1.49760782
2026-06-11T01:40:00+00:00,3,4150,415.0,2.034e-05
2026-06-11T01:40:00+00:00,4,3083,308.3,0.0
2026-06-11T01:50:00+00:00,2,7189,718.9,1.45276948
2026-06-11T01:50:00+00:00,3,3850,385.0,1.943e-05
2026-06-11T01:50:00+00:00,4,3146,314.6,0.0
2026-06-11T02:00:00+00:00,2,6990,699.0,1.39086672
2026-06-11T02:00:00+00:00,3,3711,371.1,1.82e-05
2026-06-11T02:00:00+00:00,4,3102,310.2,0.0
2026-06-11T02:10:00+00:00,2,7093,709.3,1.41918924
2026-06-11T02:10:00+00:00,3,3677,367.7,1.876e-05
2026-06-11T02:10:00+00:00,4,3167,316.7,0.0
2026-06-11T02:20:00+00:00,2,7010,701.0,1.4197209
2026-06-11T02:20:00+00:00,3,3766,376.6,1.877e-05
2026-06-11T02:20:00+00:00,4,3147,314.7,0.0
2026-06-11T02:30:00+00:00,2,6969,696.9,1.36101919
2026-06-11T02:30:00+00:00,3,3684,368.4,1.76e-05
2026-06-11T02:30:00+00:00,4,3085,308.5,0.0
2026-06-11T02:40:00+00:00,2,6995,699.5,1.36705006
2026-06-11T02:40:00+00:00,3,3636,363.6,1.772e-05
2026-06-11T02:40:00+00:00,4,3096,309.6,0.0
2026-06-11T02:50:00+00:00,2,6835,683.5,1.35198709
2026-06-11T02:50:00+00:00,3,3717,371.7,1.743e-05
2026-06-11T02:50:00+00:00,4,3031,303.1,0.0
2026-06-11T03:00:00+00:00,2,7152,715.2,1.42843402
2026-06-11T03:00:00+00:00,3,3763,376.3,1.894e-05
2026-06-11T03:00:00+00:00,4,3121,312.1,0.0
2026-06-11T03:10:00+00:00,2,7061,706.1,1.4339671
2026-06-11T03:10:00+00:00,3,3892,389.2,1.906e-05
2026-06-11T03:10:00+00:00,4,3086,308.6,0.0
2026-06-11T03:20:00+00:00,2,7237,723.7,1.47580609
2026-06-11T03:20:00+00:00,3,3922,392.2,1.99e-05
2026-06-11T03:20:00+00:00,4,3170,317.0,0.0
2026-06-11T03:30:00+00:00,2,7154,715.4,1.4581587
2026-06-11T03:30:00+00:00,3,4215,421.5,1.954e-05
2026-06-11T03:30:00+00:00,4,3010,301.0,0.0
2026-06-11T03:40:00+00:00,2,7448,744.8,1.51448192
2026-06-11T03:40:00+00:00,3,4187,418.7,2.068e-05
2026-06-11T03:40:00+00:00,4,3094,309.4,0.0
2026-06-11T03:50:00+00:00,2,7453,745.3,1.5716484
2026-06-11T03:50:00+00:00,3,4226,422.6,2.186e-05
2026-06-11T03:50:00+00:00,4,3166,316.6,0.0
2026-06-11T04:00:00+00:00,2,7322,732.2,1.56111583
2026-06-11T04:00:00+00:00,3,4278,427.8,2.165e-05
2026-06-11T04:00:00+00:00,4,3198,319.8,0.0
2026-06-11T04:10:00+00:00,2,7433,743.3,1.58540273
2026-06-11T04:10:00+00:00,3,4263,426.3,2.215e-05
2026-06-11T04:10:00+00:00,4,3172,317.2,0.0
2026-06-11T04:20:00+00:00,2,7413,741.3,1.57122303
2026-06-11T04:20:00+00:00,3,4331,433.1,2.186e-05
2026-06-11T04:20:00+00:00,4,3141,314.1,0.0
2026-06-11T04:30:00+00:00,2,7353,735.3,1.51724222
2026-06-11T04:30:00+00:00,3,4283,428.3,2.074e-05
2026-06-11T04:30:00+00:00,4,3019,301.9,0.0
2026-06-11T04:40:00+00:00,2,7342,734.2,1.58066395
2026-06-11T04:40:00+00:00,3,4398,439.8,2.205e-05
2026-06-11T04:40:00+00:00,4,3157,315.7,0.0
2026-06-11T04:50:00+00:00,2,7316,731.6,1.53431428
2026-06-11T04:50:00+00:00,3,4274,427.4,2.109e-05
2026-06-11T04:50:00+00:00,4,3128,312.8,0.0
2026-06-11T05:00:00+00:00,2,7158,715.8,1.47134069
2026-06-11T05:00:00+00:00,3,4159,415.9,1.981e-05
2026-06-11T05:00:00+00:00,4,3041,304.1,0.0
2026-06-11T05:10:00+00:00,2,7344,734.4,1.52914471
2026-06-11T05:10:00+00:00,3,4166,416.6,2.099e-05
2026-06-11T05:10:00+00:00,4,3104,310.4,0.0
2026-06-11T05:20:00+00:00,2,7365,736.5,1.52741552
2026-06-11T05:20:00+00:00,3,4064,406.4,2.095e-05
2026-06-11T05:20:00+00:00,4,3151,315.1,0.0
2026-06-11T05:30:00+00:00,2,7255,725.5,1.4995022
2026-06-11T05:30:00+00:00,3,4074,407.4,2.038e-05
2026-06-11T05:30:00+00:00,4,3084,308.4,0.0
2026-06-11T05:40:00+00:00,2,7215,721.5,1.43476383
2026-06-11T05:40:00+00:00,3,4020,402.0,1.907e-05
2026-06-11T05:40:00+00:00,4,2987,298.7,0.0
2026-06-11T05:50:00+00:00,2,7117,711.7,1.49112932
2026-06-11T05:50:00+00:00,3,4071,407.1,2.021e-05
2026-06-11T05:50:00+00:00,4,3169,316.9,0.0
2026-06-11T06:00:00+00:00,2,7191,719.1,1.42292973
2026-06-11T06:00:00+00:00,3,3967,396.7,1.884e-05
2026-06-11T06:00:00+00:00,4,2999,299.9,0.0
2026-06-11T06:10:00+00:00,2,7311,731.1,1.48595357
2026-06-11T06:10:00+00:00,3,3979,397.9,2.01e-05
2026-06-11T06:10:00+00:00,4,3124,312.4,0.0
2026-06-11T06:20:00+00:00,2,7199,719.9,1.4992563
2026-06-11T06:20:00+00:00,3,4018,401.8,2.037e-05
2026-06-11T06:20:00+00:00,4,3163,316.3,0.0
2026-06-11T06:30:00+00:00,2,7221,722.1,1.52501116
